analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
2011-05-17T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500625,HEWITT AND MILBURN DITCH,4500570,DOBEY DITCH
2011-05-17T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500732,R F DITCH,4500706,MUSCONETCONG DITCH
2011-05-18T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500732,R F DITCH,4500706,MUSCONETCONG DITCH
2011-05-19T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500732,R F DITCH,4500706,MUSCONETCONG DITCH
2011-05-20T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500732,R F DITCH,4500706,MUSCONETCONG DITCH
2011-05-20T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500732,R F DITCH,4500570,DOBEY DITCH
2011-05-21T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500732,R F DITCH,4500570,DOBEY DITCH
2011-05-22T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500625,HEWITT AND MILBURN DITCH,4500732,R F DITCH
2011-05-22T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500732,R F DITCH,4500570,DOBEY DITCH
2011-05-23T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500625,HEWITT AND MILBURN DITCH,4500732,R F DITCH
2011-05-23T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500732,R F DITCH,4500706,MUSCONETCONG DITCH
2011-05-24T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500732,R F DITCH,4500706,MUSCONETCONG DITCH
2011-05-25T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500638,HUNTLEY DITCH,4500706,MUSCONETCONG DITCH
2011-05-25T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500732,R F DITCH,4500706,MUSCONETCONG DITCH
2011-05-26T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500638,HUNTLEY DITCH,4500706,MUSCONETCONG DITCH
2011-05-26T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500706,MUSCONETCONG DITCH,4500514,BATTLEMENT DITCH
2011-05-27T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500706,MUSCONETCONG DITCH,4500514,BATTLEMENT DITCH
2011-05-28T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-05-28T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500706,MUSCONETCONG DITCH,4500514,BATTLEMENT DITCH
2011-05-29T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-05-30T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-07-11T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-07-12T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-07-13T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-07-14T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-07-14T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500758,SHUTT DITCH,4500514,BATTLEMENT DITCH
