wdid,structureName,structureType,waterSource,streamMile,division,waterDistrict,subdistrict,county,designatedBasinName,managementDistrictName,latdecdeg,longdecdeg
3905128,HARPER WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.550703,-107.61378
3905129,HARRINGTON WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.577544,-107.439086
3905130,HERWICK WELL,WELL,GROUNDWATER: HARVEY GAP,,5,39,,GARFIELD,,,39.584035,-107.659078
3905131,HOFFMAN SPRING NO 2,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.755609,-107.650191
3905132,HOFFMEISTER WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.561982,-107.701181
3905133,HOLSAN WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.55826,-107.599413
3905134,HOLT-MOYER SPRING,SPRING,COLORADO RIVER,,5,39,,GARFIELD,,,39.535219,-107.759465
3905135,HUBBARD WELL,WELL,GROUNDWATER: GOVERNMENT CREEK,,5,39,,GARFIELD,,,39.587639,-107.810456
3905136,INDIAN SPRING WELL,WELL,GROUNDWATER: EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.708616,-107.713426
3905137,MONUMENT PEAK SPRING NO3,SPRING,WEST RIFLE CREEK,,5,39,,GARFIELD,,,39.721539,-107.908049
3905138,IRRIGATION WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.479366,-107.967948
3905139,ISRAEL WELL,WELL,GROUNDWATER: MAIN ELK CREEK,,5,39,,GARFIELD,,,39.658789,-107.566138
3905140,JACKSON WELL,WELL,GROUNDWATER: WEST ELK CREEK,,5,39,,GARFIELD,,,39.685808,-107.645729
3905141,JAKE HAAS WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.561547,-107.693389
3905142,JAKE HAAS WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.557371,-107.693335
3905143,JEWELL WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.576523,-107.716091
3905144,JEWELL WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.557279,-107.707312
3905145,JEWELL WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.575916,-107.717508
3905146,JILLS WELL,WELL,GROUNDWATER: CANYON CREEK,,5,39,,GARFIELD,,,39.590036,-107.447964
3905147,JOHNSON SPRING,SPRING,RIFLE CREEK,,5,39,,GARFIELD,,,39.5387,-107.778379
3905148,JOHNSON WELL,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.553229,-107.773959
3905149,JOHNSON WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.562273,-107.567242
3905150,JOLLEY WELL NO 1,WELL,GROUNDWATER: MAIN ELK CREEK,,5,39,,GARFIELD,,,39.584089,-107.551511
3905151,JONES WELL NO 1,WELL,GROUNDWATER: GOVERNMENT CREEK,,5,39,,GARFIELD,,,39.616172,-107.815052
3905152,JOY-RIDGE WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.435279,-108.057036
3905153,KATHY NO 1 WELL,WELL,GROUNDWATER: COZZA GULCH,,5,39,,GARFIELD,,,39.565858,-107.659359
3905154,KAYS KORNER WELL NO 1,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,,
3905155,KAYS KORNER WELL NO 2,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.598054,-107.766908
3905156,KAY'S WELL,WELL,GROUNDWATER: CANYON CREEK,,5,39,,GARFIELD,,,39.60959,-107.454989
3905157,KEITHLEY WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.560943,-107.699768
3905158,KELPY SPRING NO 1,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.641102,-107.68203
3905159,KENDRICK SPRINGS,SPRING,EAST CANYON CREEK,,5,39,,GARFIELD,,,39.621403,-107.375687
3905160,KIME WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.580135,-107.677404
3905161,KING-STREPKA WELL,WELL,GROUNDWATER: CANYON CREEK,,5,39,,GARFIELD,,,39.584665,-107.449431
3905162,KLUMKER WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.557949,-107.613891
3905163,LANGSTAFF WELL,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.572756,-107.767764
3905164,LEO SPRING NO 2,SPRING,COLORADO RIVER,,5,39,,GARFIELD,,,39.565667,-107.71601
3905165,LEWIS WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.549905,-107.726974
3905166,HORSE MTN SPRING NO 10,SPRING,WEST RIFLE CREEK,,5,39,,GARFIELD,,,39.696442,-107.824853
3905167,LINDAUER NO 1 WELL,WELL,GROUNDWATER: PARACHUTE CREEK,,5,39,,GARFIELD,,,39.468904,-108.077615
3905168,LINDSTROM WELL NO 1,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.598369,-107.556278
3905169,LINDSTROM WELL NO 2,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.594528,-107.556835
3905170,LINDSTROM WELL NO 3,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.601307,-107.554977
3905171,LISA WELL,WELL,GROUNDWATER: HARVEY GAP,,5,39,,GARFIELD,,,39.576812,-107.649369
3905172,LISTER SPRING,SPRING,COLORADO RIVER,,5,39,,GARFIELD,,,39.532259,-107.779998
3905173,MCGOWN SPRING,SPRING,COLORADO RIVER,,5,39,,GARFIELD,,,39.531212,-107.811129
3905174,MCPHERSON WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.563778,-107.675739
3905175,MCVEY WELL NO 1,WELL,GROUNDWATER: HARVEY GAP,,5,39,,GARFIELD,,,39.587673,-107.676344
3905176,MEISNER SPRING NO 1,SPRING,RIFLE CREEK,,5,39,,GARFIELD,,,39.663336,-107.700732
3905177,MEISNER WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.576665,-107.678398
3905178,MELTON WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.558409,-107.571231
