WDID,Stream Mile,Adjudication Date,Priority Admin No,Net Absolute,Latitude,Longitude,Lines
3804355,49.98,12/31/03,55961,128066.4,39.155611,-106.790054,5752
3903597,3.03,12/31/03,55953,52272,39.612887,-107.451878,5752
3804302,3.97,12/31/03,55938,551469.6,39.314967,-107.162808,5752
3804303,4.25,12/31/03,55938,106286.4,39.315021,-107.151141,5752
3804304,4.25,12/31/03,55938,325393.2,39.314494,-107.152807,5752
3804305,4.24,12/31/03,55938,36590.4,39.314014,-107.154393,5752
3804306,4.21,12/31/03,55938,15246,39.313538,-107.155793,5752
3804307,4.24,12/31/03,55938,16552.8,39.312969,-107.15682,5752
3804308,6.1,12/31/03,55938,21780,39.309118,-107.146322,5752
3804310,6.04,12/31/03,55938,32670,39.309887,-107.145649,5752
3802032,0.68,12/31/03,55904,12.4,39.331774,-107.218894,5752
3902021,2.26,12/31/03,55904,12,39.621236,-107.41857,5752
3902023,11.72,12/31/03,55904,13.5,39.707766,-107.386976,5752
3703993,33.98,12/31/03,55882.55761,967032,39.644324,-106.586845,5752
5300920,3.68,12/31/03,55882.55722,21,39.945751,-106.730588,5752
3804352,6.63,12/31/03,55882.5568,4356,39.122738,-106.850852,5752
3803578,34.67,12/31/03,55882.55558,72004.68,39.296137,-106.920673,5752
3803579,34.63,12/31/03,55882.55558,101189.88,39.296682,-106.921378,5752
3803580,34.56,12/31/03,55882.55558,23217.48,39.297602,-106.922232,5752
5304058,8.12,12/31/03,55882.55457,372438,39.982887,-106.936115,5752
3804354,36.31,12/31/03,55882.55394,65340,39.283657,-106.897885,5752
3803569,0.75,12/31/03,55882.55287,10890,39.295823,-107.202945,5752
3703524,5.26,12/31/03,55882.54755,16541910,39.479397,-106.735913,5752
5103571,8.28,12/31/03,55882.54695,893851.2,39.966246,-105.775839,5752
5303603,3.93,12/31/03,55882.54191,296643.6,39.947386,-106.727024,5752
5303604,2.81,12/31/03,55882.54191,136342.8,39.93476,-106.725193,5752
5303605,2.73,12/31/03,55882.54191,116305.2,39.933039,-106.725009,5752
5303601,0.59,12/31/03,55882.53934,73180.8,39.900373,-106.703328,5752
3903609,126.68,12/31/03,55882.50495,2090880,39.564813,-107.505881,5752
3804355,49.98,12/31/03,55882.50458,21780,39.155611,-106.790054,5752
3803544,11.45,12/31/03,55882.47617,43560,39.36976,-106.857307,5752
5103546,0.11,12/31/03,55882.42215,30492,39.982577,-105.869514,5752
7203720,20.33,12/31/03,55882.41273,261360,39.278441,-107.717512,5752
7203875,11.84,12/31/03,55882.31928,686070,39.054234,-108.092843,5752
5103568,20.59,12/31/02,55855,4094640,39.938975,-105.798328,6117
5103569,20.54,12/31/02,55855,3049200,39.939451,-105.799293,6117
3903581,114.9,12/31/02,55806,39204,39.549797,-107.697436,6117
3903967,125.65,12/31/02,55800,53883.72,39.575372,-107.515877,6117
3903968,125.66,12/31/02,55800,110076.12,39.574802,-107.515123,6117
3903594,1.1,12/31/02,55785,20037.6,39.639068,-107.697661,6117
3903595,1.1,12/31/02,55785,71874,39.638542,-107.698298,6117
3903596,1.1,12/31/02,55785,21344.4,39.638086,-107.698132,6117
7003507,4.49,12/31/01,55757,640332,39.553303,-108.421009,6482
7003508,5,12/31/01,55757,946994.4,39.558094,-108.42533,6482
7003516,7.61,12/31/02,55730,653400,39.413277,-108.412441,6117
3804333,50.55,12/31/02,55722,21544.776,39.148926,-106.785326,6117
7203713,4.36,12/31/02,55720,21780,39.126166,-108.575115,6117
3704048,5.26,12/31/02,55694,1424412,39.593433,-106.965553,6117
