wdid,structureName,streamMile,latitude,longitude,adminNumber,netAbsolute
7200655,N F GUTHRIE DITCH NO 1,7.04,39.17491,-107.898604,30895.23495,0.26
7200656,HALL DITCH (COTTONWOOD),1.13,39.184671,-108.048317,13853,4.2112
7200656,HALL DITCH (COTTONWOOD),1.13,39.184671,-108.048317,22995.1686,0.18
7200656,HALL DITCH (COTTONWOOD),1.13,39.184671,-108.048317,30895.13478,1.3
7200657,HALL DITCH (BEAVER CR),7.77,39.090011,-108.138827,30895.23496,1.8
7200659,HANNAH DITCH,1.71,39.218944,-107.989417,14544,1.44
7200659,HANNAH DITCH,1.71,39.218944,-107.989417,30895.14649,1
7200659,HANNAH DITCH,1.71,39.218944,-107.989417,34419.2934,0.64
7200660,HANSON DITCH,27.35,39.263102,-107.896176,30895.26767,0.77
7200661,HASSELBUSCH DITCH,31.01,39.465656,-108.644363,23432.20881,0.9
7200661,HASSELBUSCH DITCH,31.01,39.465656,-108.644363,23432.22125,1.8
7200661,HASSELBUSCH DITCH,31.01,39.465656,-108.644363,23432.22507,1.64
7200662,HARDSCRABBLE DITCH,30.4,39.256339,-107.845689,18749.14163,4.05
