wdid,streamMile,adminNumber,netAbsolute,lat,long,sum_netAbs
3803557,2.93,56247.560999999994,1032372.0,39.414795,-106.934576,1032372.0
3804401,0.19,56247.56095,52184.88,39.211364,-106.85296899999999,52184.88
3804402,0.43,56247.56095,48787.2,39.208936,-106.853218,48787.2
3804403,0.75,56247.56095,11456.28,39.205125,-106.85094,11456.28
3804404,0.09,56247.56095,7623.0,39.213034,-106.850196,7623.0
3804405,0.41,56247.56095,5401.44,39.210049,-106.84846100000001,5401.44
3804408,0.85,56247.56095,6141.96,39.20398,-106.84987,6141.96
3804410,0.57,56247.56095,7862.58,39.207384999999995,-106.851076,7862.58
3804411,0.54,56247.56095,7862.58,39.208055,-106.850853,7862.58
3804414,0.29,56247.56095,3963.96,39.21118,-106.849011,3963.96
3704021,1.41,56247.55799,11325.6,39.666354,-106.628147,11325.6
3704022,1.28,56247.55799,9583.2,39.664178,-106.62857199999999,9583.2
5003681,1.08,56247.5579,261360.0,40.114916,-106.501756,261360.0
5003683,1.24,56247.5579,21780.0,40.113580999999996,-106.503969,21780.0
3804316,23.05,56247.55745,13068.0,39.133565000000004,-107.262437,13068.0
3804158,1.14,56247.554970000005,13503.6,39.242155,-106.842505,122403.6
3804158,1.14,51134.5081,108900.0,39.242155,-106.842505,122403.6
5303589,8.27,56247.55457000001,435600.0,39.992471,-106.93356299999999,435600.0
5303590,8.12,56247.55457000001,72745.2,39.982824,-106.936125,72745.2
5303595,3.18,56247.542689999995,1581228.0,40.044940000000004,-106.814264,1581228.0
3703659,8.32,56247.53959,108900.0,39.80576,-106.719003,126324.0
3703659,8.32,48942.35064,17424.0,39.80576,-106.719003,126324.0
3603693,22.3,56247.539220000006,174240.0,39.839124,-106.23349099999999,174240.0
7203735,14.8,56247.53592,24393.6,39.187998,-108.07379099999999,24393.6
3903586,2.73,56247.47848,81457.2,39.608649,-107.459476,81457.2
3903587,2.73,56247.47848,112384.8,39.607988,-107.459392,112384.8
3903588,2.73,56247.47848,36154.8,39.6083,-107.460631,36154.8
3903589,2.73,56247.47848,84070.8,39.607867999999996,-107.460067,84070.8
3903590,2.7,56247.47848,43560.0,39.605616999999995,-107.45731699999999,43560.0
3903591,2.7,56247.47848,65340.0,39.605226,-107.45680700000001,65340.0
3903592,2.7,56247.47848,87120.0,39.604725,-107.456331,87120.0
3803573,25.87,56247.447120000004,17424.0,39.383232,-107.012125,17424.0
7203731,3.1,56247.44194,140263.2,39.255645,-107.60621200000001,140263.2
3803727,24.62,56247.389579999995,4007520.0,39.341935,-106.632291,4007520.0
7203711,1.4,56156.0,130680.0,39.241391,-108.883853,130680.0
3603644,0.55,56063.0,11325.6,39.713305,-106.102769,11325.6
3603645,0.52,56063.0,23522.4,39.713679,-106.10346000000001,23522.4
7003508,5.0,56037.0,87120.0,39.558094,-108.42533,1382594.4
7003508,5.0,55757.0,946994.4,39.558094,-108.42533,1382594.4
7003508,5.0,55318.0,348480.0,39.558094,-108.42533,1382594.4
5304011,15.66,55973.0,50.0,40.054684,-106.821381,50.0
3804355,49.98,55961.0,128066.4,39.155611,-106.790054,149846.4
3804355,49.98,55882.50457999999,21780.0,39.155611,-106.790054,149846.4
3903597,3.03,55953.0,52272.0,39.612887,-107.45187800000001,52272.0
3804302,3.97,55938.0,551469.6,39.314966999999996,-107.16280800000001,551469.6
3804303,4.25,55938.0,106286.4,39.315021,-107.151141,106286.4
3804304,4.25,55938.0,325393.2,39.314494,-107.15280700000001,325393.2
3804305,4.24,55938.0,36590.4,39.314014,-107.154393,36590.4
3804306,4.21,55938.0,15246.0,39.313538,-107.15579299999999,15246.0
3804307,4.24,55938.0,16552.8,39.312969,-107.15682,16552.8
3804308,6.1,55938.0,21780.0,39.309118,-107.146322,21780.0
3804310,6.04,55938.0,32670.0,39.309886999999996,-107.145649,32670.0
3802032,0.68,55904.0,12.4,39.331773999999996,-107.21889399999999,12.4
3902021,2.26,55904.0,12.0,39.621235999999996,-107.41856999999999,12.0
3902023,11.72,55904.0,13.5,39.707766,-107.386976,13.5
3703993,33.98,55882.55761,967032.0,39.644324,-106.586845,967032.0
5300920,3.68,55882.55722,21.0,39.945751,-106.73058799999998,21.0
3804352,6.63,55882.5568,4356.0,39.122738,-106.850852,4356.0
3803578,34.67,55882.55557999999,72004.68,39.296137,-106.920673,72004.68
3803579,34.63,55882.55557999999,101189.88,39.296682000000004,-106.921378,101189.88
3803580,34.56,55882.55557999999,23217.48,39.297602000000005,-106.92223200000001,23217.48
5304058,8.12,55882.55457000001,372438.0,39.982887,-106.93611499999999,446490.0
5304058,8.12,51864.32323,74052.0,39.982887,-106.93611499999999,446490.0
3804354,36.31,55882.55394,65340.0,39.283657,-106.897885,65340.0
3803569,0.75,55882.55287000001,10890.0,39.295823,-107.202945,10890.0
3703524,5.26,55882.54755,16541910.0,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,50403.35303,19569765.6,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,30894.300710000003,28749.6,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,30894.2934,43995.6,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,30894.26783,391168.8,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,30894.245919999998,91476.0,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,30194.15523,481773.6,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,30194.15523,787564.8,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,24263.2344,45302.4,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,20694.0,151153.2,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,20427.202230000003,17424.0,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,20427.20179,1748062.8,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,20427.19478,850726.8,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,18367.0,1146934.8,39.479397,-106.73591299999998,43672384.79999999
3703524,5.26,16251.148319999998,1776376.8,39.479397,-106.73591299999998,43672384.79999999
5103571,8.28,55882.54695,893851.2,39.966246000000005,-105.77583899999999,893851.2
5303603,3.93,55882.54191,296643.6,39.947386,-106.727024,296643.6
5303604,2.81,55882.54191,136342.8,39.93476,-106.72519299999999,136342.8
5303605,2.73,55882.54191,116305.2,39.933039,-106.72500900000001,116305.2
5303601,0.59,55882.539339999996,73180.8,39.900372999999995,-106.703328,73180.8
3903609,126.68,55882.50495,2090880.0,39.564813,-107.505881,2090880.0
3803544,11.45,55882.47617,43560.0,39.36976,-106.857307,43560.0
5103546,0.11,55882.42215,30492.0,39.982577,-105.869514,30492.0
7203720,20.33,55882.41273,261360.0,39.278441,-107.71751200000001,261360.0
7203875,11.84,55882.319279999996,686070.0,39.054234,-108.09284299999999,1372140.0
7203875,11.84,22729.187830000003,686070.0,39.054234,-108.09284299999999,1372140.0
5103568,20.59,55855.0,4094640.0,39.938975,-105.798328,4094640.0
5103569,20.54,55855.0,3049200.0,39.939451,-105.79929299999999,3049200.0
3903581,114.9,55806.0,39204.0,39.549797,-107.69743600000001,39204.0
