analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
38753.37919,20427.18999,5456.0,3.28,44.0,3701290,147.54,1250.0,5300584
57704.0,20427.18999,16204320.0,5.45,130680.0,5103523,147.54,1250.0,5300584
46386.46353,20427.18999,32408640.0,3.55,261360.0,3703614,147.54,1250.0,5300584
45410.0,20427.18999,135036000.0,5.12,1089000.0,5303542,147.54,1250.0,5300584
40912.0,20427.18999,540144.0,11.61,4356.0,3703879,147.54,1250.0,5300584
49796.0,20427.18999,1755468.0,1.91,14157.0,3703688,147.54,1250.0,5300584
56991.0,20427.18999,39970656.0,2.12,322344.0,3704032,147.54,1250.0,5300584
52033.0,20427.18999,343531584.0,8.94,2770416.0,5203982,147.54,1250.0,5300584
50403.41089,20427.18999,5401440.0,8.42,43560.0,3703696,147.54,1250.0,5300584
56613.55152000001,20427.18999,3889036.8000000003,1.09,31363.2,5204030,147.54,1250.0,5300584
46751.38928,20427.18999,885836.16,0.2,7143.84,5304015,147.54,1250.0,5300584
33433.3315,20427.18999,1042477920.0,2.15,8407080.0,5103693,147.54,1250.0,5300584
45290.3635,20427.18999,12423312.0,0.46,100188.0,3603580,147.54,1250.0,5300584
52230.0,20427.18999,345692.16000000003,4.72,2787.84,3703403,147.54,1250.0,5300584
33466.0,20427.18999,505952884.8,2.33,4080265.2,3603571,147.54,1250.0,5300584
56970.0,20427.18999,8102160.0,222.54,65340.0,5303641,147.54,1250.0,5300584
45290.36436,20427.18999,6481728.0,0.51,52272.0,3603581,147.54,1250.0,5300584
56978.0,20427.18999,173600.0,38.03,1400.0,3701416,147.54,1250.0,5300584
49403.0,20427.18999,3359695680.0,10.86,27094320.0,5000617,147.54,1250.0,5300584
46631.0,20427.18999,135036000.0,7.3,1089000.0,3703595,147.54,1250.0,5300584
34241.18263,20427.18999,2232.0,236.23,18.0,5100763,147.54,1250.0,5300584
41199.23559,20427.18999,229291128.0,3.73,1849122.0,5303976,147.54,1250.0,5300584
45290.36645,20427.18999,5401440.0,0.62,43560.0,3603582,147.54,1250.0,5300584
50769.50702,20427.18999,12963456.0,9.84,104544.0,5304035,147.54,1250.0,5300584
49451.0,20427.18999,1736.0,3.53,14.0,5000762,147.54,1250.0,5300584
51864.43372,20427.18999,12963456.0,2.93,104544.0,3703744,147.54,1250.0,5300584
