analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
4503665,PARKER RESERVOIR NO 16,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.14,0.8,45,61.8,2313.7,72,4.5336000000000025
7203689,WBRUSH 2 RESERVOIR,7200791,MIDLINE DITCH,7.875999999999999,6.14,0.5,72,2.28,8.41,72,3.9379999999999993
3804204,ROSE RANCH POND NO.7,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.14,12.49,38,61.8,2313.7,72,70.78083000000004
5000653,TOM ENNIS DITCH,5300584,SHOSHONE POWER PLANT,126.0,6.16,60.0,50,147.54,1408.0,53,7560.0
5003673,RAWALT STOCK RES NO 2,5000734,DEBERARD DITCH OVERFLOW SYSTEM,16.0,6.17,1.4,50,3.21,96.4,50,22.4
3804084,WATKINS POND NO 5,3801132,WALTHEN DITCH,27.666999999999998,6.17,2.8,38,0.4,16.2773,38,77.46759999999999
5003673,RAWALT STOCK RES NO 2,5104655,MOFFAT WATER TUNNEL,3.0,6.17,1.4,50,25.36,928.0,51,4.199999999999999
5003673,RAWALT STOCK RES NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,6.17,1.4,50,0.85,550.0,51,7.0
5003673,RAWALT STOCK RES NO 2,5300584,SHOSHONE POWER PLANT,133.0,6.17,1.4,50,147.54,1408.0,53,186.2
5103701,SYLVAN RESERVOIR,5300584,SHOSHONE POWER PLANT,126.0,6.18,1133.74,51,147.54,1408.0,53,142851.24
3804085,WATKINS POND NO 6,3801132,WALTHEN DITCH,27.666999999999998,6.18,0.35,38,0.4,16.2773,38,9.683449999999999
4503590,DOUBLE R RES MIDDLE,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.19,0.2,45,61.8,2313.7,72,1.1334000000000006
4503591,DOUBLE R RES LOWER,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.19,1.0,45,61.8,2313.7,72,5.6670000000000025
4503668,PARKER RESERVOIR NO 02A,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.21,0.5,45,61.8,2313.7,72,2.8335000000000012
4503667,PARKER RESERVOIR NO 02,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.22,2.0,45,61.8,2313.7,72,11.334000000000005
3804277,BEAR DANCE POND NO 1,3801132,WALTHEN DITCH,27.666999999999998,6.24,1.0,38,0.4,16.2773,38,27.666999999999998
5103654,COLE RESERVOIR,5300584,SHOSHONE POWER PLANT,126.0,6.25,39.08,51,147.54,1408.0,53,4924.08
3804267,LITTLE CREEK RANCH POND 1,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.26,0.35,38,61.8,2313.7,72,1.9834500000000008
3803692,DOUGLAS POND NO 2,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.26,2.25,38,61.8,2313.7,72,12.750750000000005
