analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3802029,MIN FLOW HUNTER CR MID,7200645,GRAND VALLEY CANAL,15.084000000000001,8.16,17.0,38,53.09,940.28,72
3802029,MIN FLOW HUNTER CR MID,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.16,17.0,38,45.59,520.0,36
5103522,MURRAY/BREIDER POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.19,1.5,51,15.77,209199.0,36
5103522,MURRAY/BREIDER POND,5300584,SHOSHONE POWER PLANT,17.333,8.19,1.5,51,147.54,1408.0,53
5103522,MURRAY/BREIDER POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.19,1.5,51,53.09,940.28,72
5103522,MURRAY/BREIDER POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.19,1.5,51,45.59,520.0,36
3804023,HARVEY POND NO 02,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.2,0.848,38,45.59,520.0,36
3804023,HARVEY POND NO 02,7200645,GRAND VALLEY CANAL,15.084000000000001,8.2,0.848,38,53.09,940.28,72
3804023,HARVEY POND NO 02,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.2,0.848,38,15.77,209199.0,36
5303969,HADLEY NO 2 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.21,13.14,53,15.77,209199.0,36
3804207,ROSE RANCH POND NO.10,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.21,4.51,38,15.77,209199.0,36
3804207,ROSE RANCH POND NO.10,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.21,4.51,38,45.59,520.0,36
5303969,HADLEY NO 2 RESERVOIR,5300584,SHOSHONE POWER PLANT,17.333,8.21,13.14,53,147.54,1408.0,53
3804207,ROSE RANCH POND NO.10,7200645,GRAND VALLEY CANAL,15.084000000000001,8.21,4.51,38,53.09,940.28,72
5303969,HADLEY NO 2 RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.21,13.14,53,45.59,520.0,36
5303969,HADLEY NO 2 RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,8.21,13.14,53,53.09,940.28,72
5304057,WILBURS POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.27,2.5,53,53.09,940.28,72
5304057,WILBURS POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.27,2.5,53,15.77,209199.0,36
5304056,TOWER POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.27,25.0,53,15.77,209199.0,36
5304056,TOWER POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.27,25.0,53,53.09,940.28,72
5303589,HOUSE POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.27,11.0,53,45.59,520.0,36
5304057,WILBURS POND,5300584,SHOSHONE POWER PLANT,17.333,8.27,2.5,53,147.54,1408.0,53
5304056,TOWER POND,5300584,SHOSHONE POWER PLANT,17.333,8.27,25.0,53,147.54,1408.0,53
5303589,HOUSE POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.27,11.0,53,15.77,209199.0,36
5303589,HOUSE POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.27,11.0,53,53.09,940.28,72
5304056,TOWER POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.27,25.0,53,45.59,520.0,36
5304057,WILBURS POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.27,2.5,53,45.59,520.0,36
5303589,HOUSE POND,5300584,SHOSHONE POWER PLANT,17.333,8.27,11.0,53,147.54,1408.0,53
5103571,EAST POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.28,20.52,51,15.77,209199.0,36
5103571,EAST POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.28,20.52,51,53.09,940.28,72
5103571,EAST POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.28,20.52,51,45.59,520.0,36
5103571,EAST POND,5300584,SHOSHONE POWER PLANT,17.333,8.28,20.52,51,147.54,1408.0,53
3804076,BISHOP POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.29,2.68,38,15.77,209199.0,36
3804076,BISHOP POND,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.29,2.68,38,45.59,520.0,36
3804076,BISHOP POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.29,2.68,38,53.09,940.28,72
4503605,FRANKS POND AND OUTLET D,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.32,0.25,45,15.77,209199.0,36
3804027,HARVEY POND NO 06,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.32,0.138,38,15.77,209199.0,36
3804028,HARVEY POND NO 07,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.32,0.126,38,15.77,209199.0,36
3804029,HARVEY POND NO 08,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.32,2.349,38,15.77,209199.0,36
3804030,HARVEY POND NO 09,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.32,0.23,38,15.77,209199.0,36
3804031,HARVEY POND NO 10,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.32,0.162,38,15.77,209199.0,36
3804026,HARVEY POND NO 05,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.32,0.21,38,45.59,520.0,36
3804031,HARVEY POND NO 10,7200645,GRAND VALLEY CANAL,15.084000000000001,8.32,0.162,38,53.09,940.28,72
3804029,HARVEY POND NO 08,7200645,GRAND VALLEY CANAL,15.084000000000001,8.32,2.349,38,53.09,940.28,72
3804028,HARVEY POND NO 07,7200645,GRAND VALLEY CANAL,15.084000000000001,8.32,0.126,38,53.09,940.28,72
3804027,HARVEY POND NO 06,7200645,GRAND VALLEY CANAL,15.084000000000001,8.32,0.138,38,53.09,940.28,72
3804026,HARVEY POND NO 05,7200645,GRAND VALLEY CANAL,15.084000000000001,8.32,0.21,38,53.09,940.28,72
3703659,WATERFORD RANCH PD P8-2,3604684,BLUE RIVER DIVERSION PROJECT,34.334,8.32,2.9,37,45.59,520.0,36
3703659,WATERFORD RANCH PD P8-2,5300584,SHOSHONE POWER PLANT,34.666,8.32,2.9,37,147.54,1408.0,53
4503605,FRANKS POND AND OUTLET D,7200645,GRAND VALLEY CANAL,15.084000000000001,8.32,0.25,45,53.09,940.28,72
4503605,FRANKS POND AND OUTLET D,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.32,0.25,45,45.59,520.0,36
3804026,HARVEY POND NO 05,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.32,0.21,38,15.77,209199.0,36
3804030,HARVEY POND NO 09,7200645,GRAND VALLEY CANAL,15.084000000000001,8.32,0.23,38,53.09,940.28,72
3804028,HARVEY POND NO 07,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.32,0.126,38,45.59,520.0,36
3804030,HARVEY POND NO 09,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.32,0.23,38,45.59,520.0,36
3804027,HARVEY POND NO 06,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.32,0.138,38,45.59,520.0,36
3703659,WATERFORD RANCH PD P8-2,3603543,GREEN MOUNTAIN RESERVOIR,38.062,8.32,2.9,37,15.77,209199.0,36
3703659,WATERFORD RANCH PD P8-2,7200645,GRAND VALLEY CANAL,30.168000000000003,8.32,2.9,37,53.09,940.28,72
3804029,HARVEY POND NO 08,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.32,2.349,38,45.59,520.0,36
3804031,HARVEY POND NO 10,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.32,0.162,38,45.59,520.0,36
5103659,F W LINKE RESERVOIR,5300584,SHOSHONE POWER PLANT,17.333,8.33,12.68,51,147.54,1408.0,53
