analysisAdminNo,priorityAdminNo,wt
53648.0,23107.199780000003,69.0
37552.36038,23107.199780000003,69.0
36396.34942,23107.199780000003,69.0
30941.253360000002,22034.193909999998,55.0
46020.45581,12993.0,53.989
23378.20946,12993.0,53.989
44925.36159,12993.0,53.989
49102.0,21497.18744,39.0
44925.36159,12541.0,36.977999999999994
44194.3068,31258.0,30.667
51499.49093,31258.0,30.667
33799.0,31258.0,30.667
52133.0,31258.0,30.667
56978.26467999999,31258.0,30.667
49563.0,31258.0,30.667
56978.56752999999,31258.0,30.667
35927.0,31258.0,30.667
48212.44803,31258.0,30.667
53935.0,31258.0,30.667
51864.4949,31258.0,30.667
43234.0,31258.0,30.667
48212.40754,31258.0,30.667
49673.47786,31258.0,30.667
49746.0,31258.0,30.667
35238.0,31258.0,30.667
51864.51194,31258.0,30.667
48212.47999,31258.0,30.667
46034.0,31258.0,30.667
35915.0,31258.0,30.667
49581.0,31258.0,30.667
46097.0,31258.0,30.667
46386.18627,31258.0,30.667
45512.0,31258.0,30.667
35929.0,31258.0,30.667
50313.0,31258.0,30.667
32075.311660000003,31258.0,30.667
32075.09324,31258.0,30.667
32309.0,31258.0,30.667
32075.204530000003,31258.0,30.667
31566.0,31258.0,30.667
55517.51746,31258.0,30.667
44925.41272,31258.0,30.667
53225.0,31258.0,30.667
32075.196010000003,31258.0,30.667
54786.54603,31258.0,30.667
40785.0,31258.0,30.667
52595.390810000004,31258.0,30.667
56247.539220000006,31258.0,30.667
31272.0,31258.0,30.667
52595.47847,31258.0,30.667
52595.47634,31258.0,30.667
54969.0,31258.0,30.667
44559.4266,31258.0,30.667
50038.48023,31258.0,30.667
55142.0,31258.0,30.667
52595.43829,31258.0,30.667
48827.0,31258.0,30.667
56063.0,31258.0,30.667
