analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5104049,NORGREN RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104051,SUN VALLEY RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104052,OURAY RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,293.731
5104053,OURAY RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,293.731
5104054,ECKER POND,5300584,SHOSHONE POWER PLANT,293.731
3703894,JESS'S POND,5300584,SHOSHONE POWER PLANT,293.731
3703983,BUD'S UPPER POND,5300584,SHOSHONE POWER PLANT,293.731
3703892,CJC POND NO. 1,5300584,SHOSHONE POWER PLANT,293.731
3701412,TOWN OF VAIL WHITEWATER PARK STRUCTURE 1,5300584,SHOSHONE POWER PLANT,293.731
3702057,MIN FLOW GORE CR MIDDLE,5300584,SHOSHONE POWER PLANT,293.731
3702048,MIN FLOW BEAVER CREEK,5300584,SHOSHONE POWER PLANT,293.731
